Wavelength,Intensity,Absorbance,Reflectance
900.916069,18815,0.685367,0.206363656
904.847419,21652,0.691088,0.203662769
908.774481,23470,0.699783,0.199625755
914.003894,26075,0.701739,0.198728746
917.920952,28183,0.707841,0.195956141
921.833722,30681,0.715973,0.192321194
925.742204,34003,0.718287,0.191298918
929.646398,37388,0.722954,0.189254584
933.546304,40771,0.725918,0.187967082
937.441923,43052,0.736314,0.183520966
941.333254,45321,0.740043,0.181952128
945.220297,45747,0.756431,0.175214101
949.103052,46041,0.770284,0.169713256
952.98152,46153,0.783752,0.164531286
956.855699,45690,0.800749,0.158216232
960.725591,46030,0.809771,0.154963338
965.878777,46816,0.817562,0.152208051
969.738664,47431,0.82207,0.150636292
973.594264,48485,0.822078,0.150633478
977.445575,49315,0.824607,0.14975888
981.292599,50353,0.82356,0.150120596
985.135335,51201,0.823545,0.150125787
988.973784,52993,0.8146,0.153249758
992.807944,53508,0.815196,0.153039598
996.637817,54587,0.810168,0.154821601
1000.463402,55685,0.804401,0.156891417
1004.284699,56704,0.79829,0.159114633
1008.101708,57372,0.794075,0.160666278
1011.91443,58018,0.789382,0.162412136
1016.991389,59099,0.780181,0.165889602
1020.794106,59735,0.77425,0.168170493
1024.592535,60173,0.76915,0.170157112
1028.386676,60878,0.761296,0.17326241
1032.176529,61081,0.758181,0.174509664
1035.962095,61479,0.752429,0.176836056
1039.743373,61587,0.747681,0.178779918
1043.520363,61349,0.744967,0.17990065
1047.293065,61254,0.741984,0.181140713
1051.06148,60970,0.740856,0.181611839
1054.825607,61374,0.734799,0.184162516
1058.585446,61044,0.734068,0.184472562
1062.340997,60791,0.733079,0.184893093
1067.341729,60798,0.731262,0.18566826
1071.087275,60964,0.728875,0.186691737
1074.828534,60542,0.730905,0.185821097
1078.565505,60439,0.731382,0.185617194
1082.298188,60752,0.729162,0.18656815
1086.026583,60529,0.731319,0.185643876
1089.750691,60675,0.730562,0.185967891
1093.47051,60320,0.735104,0.18403317
1097.186042,60613,0.73466,0.184221164
1100.897286,60087,0.740004,0.181968226
1104.604243,59873,0.743592,0.180471366
1108.306912,59807,0.745833,0.179542371
1112.005292,59854,0.747041,0.179043847
1116.929797,59424,0.751428,0.177244337
1120.618173,59068,0.754894,0.175835298
1124.302261,58565,0.759316,0.174054019
1127.982062,57145,0.770621,0.16958181
1131.657575,54976,0.788279,0.162824792
1135.3288,52258,0.810512,0.154699175
1138.995737,49468,0.834734,0.146307415
1142.658386,46265,0.864295,0.136680148
1146.316748,43978,0.886969,0.129727083
1149.970822,41281,0.915293,0.1215366
1153.620608,40094,0.927942,0.118047827
1157.266106,39241,0.937363,0.115514592
1162.1201,38266,0.948277,0.112647779
1165.755594,37838,0.95252,0.111552681
1169.386799,37590,0.954577,0.111025457
1173.013717,37435,0.95523,0.110858737
1176.636348,37459,0.954501,0.111044905
1180.25469,37223,0.956437,0.110551107
1183.868744,36976,0.95955,0.109761455
1187.478511,37080,0.958374,0.110059066
1191.08399,36799,0.962173,0.109100666
1194.685182,36846,0.962433,0.109035383
1198.282085,36573,0.966068,0.108126406
1201.874701,37161,0.959317,0.10982032
1205.463029,37018,0.961987,0.109147413
1210.240796,37527,0.957405,0.110305075
1213.819119,37948,0.953602,0.111274994
1217.393154,38350,0.950548,0.112060451
1220.962902,38778,0.947354,0.112887543
1224.528362,39461,0.941342,0.114460994
1228.089534,39522,0.942169,0.114243263
1231.646418,39931,0.939312,0.114997379
1235.199014,40780,0.932404,0.116841107
1238.747323,41267,0.929726,0.117563772
1242.291344,41470,0.930429,0.117373682
1245.831077,42375,0.923587,0.119237555
1249.366522,42517,0.926089,0.118552619
1252.89768,43185,0.92298,0.119404429
1257.59922,44183,0.918291,0.120700441
1261.120373,44769,0.917002,0.121059136
1264.637238,45209,0.916982,0.121064837
1268.149815,45693,0.917169,0.12101285
1271.658104,46446,0.915722,0.121416658
1275.162106,46863,0.918246,0.120713104
1278.66182,47197,0.921095,0.119923569
1282.157246,47360,0.925659,0.118669974
1285.648384,47613,0.929014,0.117756898
1289.135234,47255,0.938017,0.115340775
1292.617797,47713,0.939271,0.11500822
1296.096072,47034,0.95078,0.112000381
1299.570059,46807,0.957693,0.1102319
1304.195372,45775,0.974152,0.106132376
1307.659355,45079,0.985858,0.10330998
1311.119049,43903,1.002144,0.099507483
1314.574456,42470,1.020607,0.095365981
1318.025575,41301,1.037285,0.091773066
1321.472406,39558,1.060152,0.087065804
1324.91495,38229,1.079151,0.083339147
1328.353206,35965,1.108922,0.077817686
1331.787173,34328,1.132297,0.073739925
1335.216854,32399,1.161344,0.068969261
1338.642246,30735,1.187334,0.064963064
1342.063351,29417,1.209035,0.061796655
1345.480167,28018,1.232698,0.058519693
1350.029253,26367,1.262192,0.054677455
1353.436065,24895,1.288729,0.051436482
1356.838589,24130,1.304286,0.049626516
1360.236826,22837,1.330324,0.046738612
1363.630775,21605,1.356349,0.044020147
1367.020435,19840,1.395569,0.040218934
1370.405809,18453,1.428772,0.037258691
1373.786894,16605,1.476784,0.033359249
1377.163691,14272,1.544404,0.02854931
1380.536201,11739,1.630906,0.023393456
1383.904423,9922,1.705326,0.019709424
1387.268357,7753,1.814397,0.015332134
1390.628004,5274,1.983498,0.010387288
1395.100863,3559,2.156127,0.006980279
1398.450504,2568,2.298459,0.005029683
1401.795858,2466,2.317397,0.004815071
1405.136924,1401,2.563629,0.002731308
1408.473702,1567,2.515754,0.003049623
1411.806193,1215,2.626704,0.002362085
1415.134396,1405,2.564815,0.002723861
1418.458311,805,2.807837,0.001556548
1421.777938,626,2.918385,0.001206745
1425.093277,921,2.751884,0.001770582
