Wavelength,Intensity,Absorbance,Reflectance
901.5312346485773,29364,0.3536852,0.4429093
905.4730469626347,33206,0.34527162,0.45157343
909.4105705716245,36756,0.3400196,0.45706755
913.3438054755464,40735,0.33624375,0.46105874
917.2727516744008,44177,0.3453069,0.45153674
921.1974091681874,49038,0.34767398,0.44908237
925.1177779569063,54088,0.35758734,0.4389476
929.0338580405574,59589,0.37095574,0.4256418
932.945649419141,65111,0.38461223,0.41246563
936.8531520926567,69490,0.40250078,0.39582133
940.7563660611048,72680,0.4203863,0.37985137
945.9539800333747,75158,0.4470829,0.35720465
949.8471870233316,76768,0.4648506,0.34288573
953.7361053082207,77650,0.4847791,0.32750723
957.6207348880421,78447,0.50414646,0.31322294
961.5010757627957,78521,0.5265819,0.2974528
965.3771279324817,80247,0.5391471,0.2889701
969.2488913971,82027,0.5513338,0.28097403
973.1163661566505,83814,0.5623637,0.27392793
976.9795522111334,85705,0.57161963,0.26815158
980.8384495605485,87779,0.5790653,0.26359347
984.6930582048959,89571,0.58612853,0.25934118
988.5433781441757,91617,0.5902978,0.2568634
992.3894093783878,92771,0.59721357,0.25280544
996.2311519075321,94520,0.60005784,0.2511552
1000.0686057316087,96287,0.60137725,0.25039333
1005.1785395113833,97490,0.6061767,0.24764144
1009.0059863569686,99006,0.6051328,0.24823737
1012.8291444974863,100381,0.6035393,0.2491499
1016.6480139329361,101172,0.6025244,0.24973279
1020.4625946633183,102242,0.5993233,0.25158036
1024.2728866886328,103169,0.5960879,0.25346157
1028.0788900088796,103591,0.5935205,0.25496435
1031.8806046240588,104025,0.58976364,0.25717953
1035.6780305341701,104538,0.5855349,0.25969592
1039.4711677392138,104082,0.5847929,0.26013997
1043.26001623919,103743,0.583104,0.26115358
1047.044576034098,103573,0.5801979,0.262907
1050.8248471239388,103405,0.5772574,0.26469308
1054.6008295087117,103199,0.57438546,0.26644927
1058.3725231884168,102706,0.5730011,0.26729995
1063.394776775696,102533,0.5697454,0.26931128
1067.15646347691,102579,0.5671256,0.2709408
1070.9138614730562,102616,0.5642718,0.27272704
1074.6669707641345,102580,0.56251204,0.27383438
1078.4157913501454,102881,0.5599717,0.2754408
1082.1603232310886,102460,0.56073046,0.27496
1085.9005664069637,102104,0.5609815,0.2748011
1089.6365208777715,102416,0.55892885,0.27610302
1093.3681866435113,102053,0.56074125,0.2749532
1097.0955637041836,102050,0.56130475,0.27459666
1100.8186520597883,101697,0.5633025,0.2733364
1104.537451710325,101565,0.564648,0.27249092
1108.2519626557942,101410,0.56671417,0.2711976
1111.9621848961956,101421,0.5671662,0.27091548
1115.6681184315294,100412,0.57255244,0.26757625
1120.6026918263133,99044,0.5804118,0.2627775
