Wavelength,Intensity,Absorbance,Reflectance
901.5312346485773,25402,0.4166325,0.38314882
905.4730469626347,29101,0.4025803,0.3957489
909.4105705716245,32240,0.39695284,0.40091026
913.3438054755464,35628,0.39442003,0.4032552
917.2727516744008,38662,0.4032188,0.39516747
921.1974091681874,42727,0.40750432,0.39128724
925.1177779569063,46967,0.41889542,0.38115758
929.0338580405574,52111,0.42919242,0.37222674
932.945649419141,56310,0.44768107,0.356713
936.8531520926567,59981,0.4664094,0.34165722
940.7563660611048,62857,0.48344758,0.3285129
945.9539800333747,64729,0.5119592,0.30763856
949.8471870233316,65706,0.53242576,0.2934771
953.7361053082207,65889,0.55610764,0.27790242
957.6207348880421,66152,0.5781798,0.26413152
961.5010757627957,66789,0.5968628,0.2530097
965.3771279324817,67713,0.61290383,0.24383508
969.2488913971,68915,0.62697685,0.2360604
973.1163661566505,70510,0.63742954,0.23044668
976.9795522111334,72237,0.6458661,0.22601326
980.8384495605485,73702,0.6549767,0.22132134
984.6930582048959,75102,0.66264445,0.21744809
988.5433781441757,76539,0.6683911,0.21458972
992.3894093783878,78065,0.67216945,0.21273088
996.2311519075321,79450,0.67548764,0.21111172
1000.0686057316087,80622,0.67849135,0.20965666
1005.1785395113833,81848,0.68212867,0.20790806
1009.0059863569686,82979,0.6818262,0.20805293
1012.8291444974863,84227,0.6797395,0.20905499
1016.6480139329361,85131,0.677497,0.21013722
1020.4625946633183,86504,0.6719164,0.21285485
1024.2728866886328,86752,0.6713576,0.21312892
1028.0788900088796,87194,0.66835594,0.21460709
1031.8806046240588,87759,0.6636097,0.21696532
1035.6780305341701,88187,0.65940446,0.21907637
1039.4711677392138,88301,0.6562029,0.22069733
1043.26001623919,87718,0.6559741,0.22081365
1047.044576034098,87996,0.6509815,0.22336675
1050.8248471239388,87388,0.6503472,0.22369324
1054.6008295087117,87642,0.64534867,0.22628269
1058.3725231884168,87584,0.64217216,0.22794384
1063.394776775696,86755,0.6423146,0.22786908
1067.15646347691,86090,0.64323133,0.22738859
1070.9138614730562,86121,0.6403778,0.22888754
1074.6669707641345,86364,0.63724196,0.23054622
